"Indicator Name","Indicator Code","Country Name","Country Code","Year","Value"
"Received government transfer or pension, male (% age 15+)","fin37.38.t.d.2","Afghanistan","AFG","2021","4.300"
"Received government transfer or pension, male (% age 15+)","fin37.38.t.d.2","Afghanistan","AFG","2017","2.190"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","2023","119174.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","2022","115823.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","2021","115207.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","2020","115363.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","2019","113863.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","2018","111587.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","2017","109074.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","2016","105850.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","2015","102717.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","2014","99121.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","2013","95346.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","2012","92155.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","2011","88669.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","2010","85631.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","2009","83261.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","2008","80252.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","2007","78362.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","2006","76790.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","2005","73764.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","2004","71385.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","2003","69154.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","2002","65405.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","2001","62441.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","2000","62265.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","1999","61685.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","1998","59466.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","1997","57124.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","1996","54731.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","1995","52353.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","1994","49662.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","1993","45492.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","1992","40396.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","1991","37347.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","1990","36851.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","1989","36390.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","1988","35423.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","1987","35331.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","1986","35946.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","1985","36833.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","1984","37270.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","1983","37279.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","1982","38170.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","1981","42107.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","1980","47114.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","1979","49686.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","1978","50439.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","1977","50307.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","1976","50005.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","1975","49528.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","1974","48830.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","1973","47934.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","1972","46938.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","1971","46067.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","1970","45389.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","1969","44877.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","1968","44564.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","1967","44398.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","1966","44225.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","1965","43927.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","1964","43510.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","1963","42998.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","1962","42398.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","1961","41815.000"
"Population ages 70-74, male","SP.POP.7074.MA","Afghanistan","AFG","1960","41319.000"
"Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","Afghanistan","AFG","2019","103.906"
"Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","Afghanistan","AFG","2018","106.744"
"Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","Afghanistan","AFG","2017","104.541"
"Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","Afghanistan","AFG","2016","99.360"
"Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","Afghanistan","AFG","1993","50.600"
"Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","Afghanistan","AFG","1985","29.586"
"Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","Afghanistan","AFG","1984","30.324"
"Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","Afghanistan","AFG","1981","57.116"
"Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","Afghanistan","AFG","1980","45.338"
"Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","Afghanistan","AFG","1978","34.271"
"Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","Afghanistan","AFG","1977","31.729"
"Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","Afghanistan","AFG","1974","30.908"
"Employers, female (% of female employment) (modeled ILO estimate)","SL.EMP.MPYR.FE.ZS","Afghanistan","AFG","2023","0.589"
"Employers, female (% of female employment) (modeled ILO estimate)","SL.EMP.MPYR.FE.ZS","Afghanistan","AFG","2022","0.523"
"Employers, female (% of female employment) (modeled ILO estimate)","SL.EMP.MPYR.FE.ZS","Afghanistan","AFG","2021","0.694"
